ColumnID,Year17,Year15,Year16
0,Timestamp,Timestamp,Timestamp
1,Internal ID,#N/A,#N/A
2,Q1: GOING OUT?,Are you going actually going trick or treating yourself?,Are you going actually going trick or treating yourself?
3,Q2: GENDER,#N/A,Your gender:
4,Q3: AGE,How old are you?,How old are you?
5,Q4: COUNTRY,#N/A,Which country do you live in?
6,"Q5: STATE, PROVINCE, COUNTY, ETC",#N/A,"Which state, province, county do you live in?"
7,Q6 | 100 Grand Bar, [100 Grand Bar], [100 Grand Bar]
8,"Q6 | Anonymous brown globs that come in black and orange wrappers	(a.k.a. Mary Janes)", [Anonymous brown globs that come in black and orange wrappers], [Anonymous brown globs that come in black and orange wrappers]
9,Q6 | Any full-sized candy bar, [Any full-sized candy bar], [Any full-sized candy bar]
10,Q6 | Black Jacks, [Black Jacks], [Black Jacks]
11,Q6 | Bonkers (the candy), [Bonkers], [Bonkers (the candy)]
12,Q6 | Bonkers (the board game),#N/A, [Bonkers (the board game)]
13,Q6 | Bottle Caps, [Bottle Caps], [Bottle Caps]
14,Q6 | Box'o'Raisins, [Box’o’ Raisins], [Box'o'Raisins]
15,Q6 | Broken glow stick, [Broken glow stick], [Broken glow stick]
16,Q6 | Butterfinger, [Butterfinger], [Butterfinger]
17,Q6 | Cadbury Creme Eggs, [Cadbury Creme Eggs], [Cadbury Creme Eggs]
18,Q6 | Candy Corn, [Candy Corn], [Candy Corn]
19,Q6 | Candy that is clearly just the stuff given out for free at restaurants, [Candy that is clearly just the stuff given out for free at restaurants], [Candy that is clearly just the stuff given out for free at restaurants]
20,Q6 | Caramellos, [Caramellos], [Caramellos]
21,"Q6 | Cash, or other forms of legal tender"," [Cash, or other forms of legal tender]"," [Cash, or other forms of legal tender]"
22,Q6 | Chardonnay,#N/A, [Chardonnay]
23,Q6 | Chick-o-Sticks (we don’t know what that is), [Chick-o-Sticks (we don’t know what that is)], [Chick-o-Sticks (we don’t know what that is)]
24,Q6 | Chiclets, [Chiclets], [Chiclets]
25,Q6 | Coffee Crisp,#N/A, [Coffee Crisp]
26,Q6 | Creepy Religious comics/Chick Tracts, [Creepy Religious comics/Chick Tracts], [Creepy Religious comics/Chick Tracts]
27,Q6 | Dental paraphenalia, [Dental paraphenalia], [Dental paraphenalia]
28,Q6 | Dots, [Dots], [Dots]
29,Q6 | Dove Bars,#N/A, [Dove Bars]
30,Q6 | Fuzzy Peaches, [Fuzzy Peaches], [Fuzzy Peaches]
