CBSA Title,Best Match,Score
"Aberdeen, SD","Aberdeen, SD",100
"Aberdeen, WA","Aberdeen, WA",100
"Abilene, TX","Abilene, TX",100
"Ada, OK","Ada, OK",100
"Adrian, MI","Adrian, MI",100
"Aguadilla, PR","Cadillac, MI",61
"Akron, OH","Akron, OH",100
"Alamogordo, NM","Alamogordo, NM",100
"Alamosa, CO","Los Alamos, NM",70
"Albany, GA","Albany, GA",100
"Albany, OR","Albany, OR",100
"Albany-Schenectady-Troy, NY","Seneca Falls, NY",59
"Albemarle, NC","Albemarle, NC",100
"Albert Lea, MN","Albert Lea, MN",100
"Albertville, AL","Albertville, AL",100
"Albuquerque, NM","Albuquerque, NM",100
"Alexander City, AL","Alexandria, LA",60
"Alexandria, LA","Alexandria, LA",100
"Alexandria, MN","Alexandria, MN",100
"Alice, TX","McAllen, TX",67
"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",55
"Alma, MI","Alpena, MI",75
"Alpena, MI","Alpena, MI",100
"Altoona, PA","Altoona, PA",100
"Altus, OK","Altus, OK",100
"Amarillo, TX","Amarillo, TX",100
"Americus, GA","Ames, IA",67
"Ames, IA","Ames, IA",100
"Amherst Town-Northampton, MA","Barnstable Town, MA",53
"Amsterdam, NY","Amsterdam, NY",100
"Anchorage, AK","LaGrange, GA",61
"Anderson Creek, NC","Henderson, NC",69
"Andrews, TX","Paris, TX",67
"Angola, IN","Angola, IN",100
"Ann Arbor, MI","Ann Arbor, MI",100
"Anniston-Oxford, AL","Anniston, AL",76
"Appleton, WI","Appleton, WI",100
"Arcadia, FL","Alexandria, LA",61
"Ardmore, OK","Ardmore, OK",100
"Arecibo, PR","Ontario, OR",60
"Arkadelphia, AR","Philadelphia, PA",69
"Arkansas City-Winfield, KS","Pittsfield, MA",53
"Asheville, NC","Asheville, NC",100
"Ashland, OH","Ashland, OH",100
"Astoria, OR","Astoria, OR",100
"Atchison, KS","Jackson, MS",67
"Athens, OH","Athens, OH",100
"Athens, TN","Athens, TN",100
"Athens, TX","Athens, TX",100
"Athens-Clarke County, GA","Athens, GA",56
"Atlanta-Sandy Springs-Roswell, GA","Homosassa Springs, FL",54
"Atlantic City-Hammonton, NJ","Atlantic City, NJ",76
"Auburn, IN","Auburn, IN",100
"Auburn, NY","Auburn, NY",100
"Auburn-Opelika, AL","Auburn, AL",69
"Augusta-Richmond County, GA-SC","Augusta, GA",51
"Augusta-Waterville, ME","Augusta, ME",65
"Austin, MN","Austin, MN",100
"Austin-Round Rock-San Marcos, TX","Corpus Christi, TX",50
"Bainbridge, GA","Cambridge, OH",64
"Baker City, OR","Bay City, MI",67
"Bakersfield-Delano, CA","Bakersfield, CA",80
"Baltimore-Columbia-Towson, MD","Baltimore, MD",60
"Bangor, ME","Bangor, ME",100
"Baraboo, WI","Baraboo, WI",100
"Barnstable Town, MA","Barnstable Town, MA",100
"Barre, VT","Laredo, TX",59
"Bartlesville, OK","Bartlesville, OK",100
"Batavia, NY","Batavia, NY",100
"Batesville, AR","Batesville, AR",100
"Baton Rouge, LA","Baton Rouge, LA",100
"Battle Creek, MI","Battle Creek, MI",100
"Bay City, MI","Bay City, MI",100
"Bay City, TX","Bay City, MI",82
"Beatrice, NE","Kearney, NE",67
"Beaumont-Port Arthur, TX","Beaumont, TX",65
"Beaver Dam, WI","Beaver Dam, WI",100
"Beckley, WV","Fernley, NV",60
"Bedford, IN","Bedford, IN",100
"Beeville, TX","Kerrville, TX",78
"Bellefontaine, OH","Bellefontaine, OH",100
"Bellingham, WA","Bellingham, WA",100
"Bemidji, MN","Bemidji, MN",100
"Bend, OR","Bend, OR",100
"Bennington, VT","Huntington, WV",69
"Big Rapids, MI","Big Rapids, MI",100
"Big Spring, TX","Springfield, IL",59
"Billings, MT","Billings, MT",100
"Binghamton, NY","Binghamton, NY",100
"Birmingham, AL","Birmingham, AL",100
"Bishop, CA","Boston, MA",56
"Bismarck, ND","Bismarck, ND",100
"Blackfoot, ID","Jackson, MI",55
"Blacksburg-Christiansburg-Radford, VA","Blacksburg, VA",53
"Bloomington, IL","Bloomington, IL",100
"Bloomington, IN","Bloomington, IN",100
"Bloomsburg-Berwick, PA","Bloomsburg, PA",76
"Bluefield, WV-VA","Bakersfield, CA",62
"Blytheville, AR","Batesville, AR",81
"Bogalusa, LA","Tuscaloosa, AL",58
"Boise City, ID","Boise City, ID",100
"Bonham, TX","Beaumont, TX",60
"Boone, NC","Boone, NC",100
"Borger, TX","Bridgeport, CT",64
"Boston-Cambridge-Newton, MA-NH","Cambridge, OH",59
"Boulder, CO","Boulder, CO",100
"Bowling Green, KY","Bowling Green, KY",100
"Bozeman, MT","Bozeman, MT",100
"Bradford, PA","Bradford, PA",100
"Brainerd, MN","Brainerd, MN",100
"Branson, MO","Branson, MO",100
"Brattleboro, VT","Statesboro, GA",59
