Best Match,CBSA Title,Score
"Norwich, CT","Norwich-New London-Willimantic, CT",53
"Cullowhee, NC",,
"Hickory, NC","Hickory-Lenoir-Morganton, NC",55
"Shelby, NC","Shelby-Kings Mountain, NC",55
"Riverside, CA","Riverside-San Bernardino-Ontario, CA",57
"Palm Bay, FL","Palm Bay-Melbourne-Titusville, FL",57
"Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI",58
"San Diego, CA","San Diego-Chula Vista-Carlsbad, CA",58
"Crestview, FL","Crestview-Fort Walton Beach-Destin, FL",58
"Denver, CO","Denver-Aurora-Centennial, CO",59
"Myrtle Beach, SC","Myrtle Beach-Conway-North Myrtle Beach, SC",59
"Seattle, WA","Seattle-Tacoma-Bellevue, WA",60
"Baltimore, MD","Baltimore-Columbia-Towson, MD",60
"San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA",60
"Durham, NC","Durham-Chapel Hill, NC",60
"Spokane, WA","Spokane-Spokane Valley, WA",60
"Olympia, WA","Olympia-Lacey-Tumwater, WA",60
"Butte, MT","Butte-Silver Bow, MT",60
"Virginia Beach, VA","Virginia Beach-Chesapeake-Norfolk, VA-NC",61
"Augusta, GA","Augusta-Richmond County, GA-SC",61
"Staunton, VA","Staunton-Stuarts Draft, VA",61
"California, MD",,
"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA",62
"Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",62
"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",62
"Des Moines, IA","Des Moines-West Des Moines, IA",62
"Provo, UT","Provo-Orem-Lehi, UT",62
"Eugene, OR","Eugene-Springfield, OR",62
"Pinehurst, NC","Pinehurst-Southern Pines, NC",62
"Chicago, IL","Chicago-Naperville-Elgin, IL-IN",63
"Phoenix, AZ","Phoenix-Mesa-Chandler, AZ",63
"Buffalo, NY","Buffalo-Cheektowaga, NY",63
"Scranton, PA","Scranton--Wilkes-Barre, PA",63
"Naples, FL","Naples-Marco Island, FL",63
"Racine, WI",,
"London, KY",,
"Point Pleasant, WV",,
"Portland, OR","Portland-Vancouver-Hillsboro, OR-WA",64
"Sacramento, CA","Sacramento-Roseville-Folsom, CA",64
"Indianapolis, IN","Indianapolis-Carmel-Greenwood, IN",64
"Bridgeport, CT","Bridgeport-Stamford-Danbury, CT",64
"North Port, FL","North Port-Bradenton-Sarasota, FL",64
"Deltona, FL","Deltona-Daytona Beach-Ormond Beach, FL",64
"Portland, ME","Portland-South Portland, ME",64
"Pensacola, FL","Pensacola-Ferry Pass-Brent, FL",64
"Davenport, IA","Davenport-Moline-Rock Island, IA-IL",64
"Muskegon, MI","Muskegon-Norton Shores, MI",64
"Wenatchee, WA","Wenatchee-East Wenatchee, WA",64
"Truckee, CA","Truckee-Grass Valley, CA",64
"Georgetown, SC",,
"Bardstown, KY",,
"Waterloo, IA","Waterloo-Cedar Falls, IA",65
"Augusta, ME","Augusta-Waterville, ME",65
"New York, NY","New York-Newark-Jersey City, NY-NJ",67
"Houston, TX","Houston-Pasadena-The Woodlands, TX",67
"Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL",67
"Boston, MA","Boston-Cambridge-Newton, MA-NH",67
"San Francisco, CA","San Francisco-Oakland-Fremont, CA",67
"Orlando, FL","Orlando-Kissimmee-Sanford, FL",67
"Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC",67
"Hartford, CT","Hartford-West Hartford-East Hartford, CT",67
"Oxnard, CA","Oxnard-Thousand Oaks-Ventura, CA",67
"Lakeland, FL","Lakeland-Winter Haven, FL",67
"Lansing, MI","Lansing-East Lansing, MI",67
"York, PA","York-Hanover, PA",67
"Beaumont, TX","Beaumont-Port Arthur, TX",67
"Shreveport, LA","Shreveport-Bossier City, LA",67
"South Bend, IN","South Bend-Mishawaka, IN-MI",67
"Daphne, AL","Daphne-Fairhope-Foley, AL",67
"Hilo, HI","Hilo-Kailua, HI",67
"Madera, CA",,
